wickets,matches,player,team
2,2,A Ashish Reddy,Kolkata Knight Riders
6,4,A Ashish Reddy,Royal Challengers Bangalore
2,2,A Ashish Reddy,Chennai Super Kings
2,1,A Ashish Reddy,Kings XI Punjab
1,1,A Ashish Reddy,Delhi Daredevils
1,1,A Ashish Reddy,Mumbai Indians
4,3,A Ashish Reddy,Pune Warriors
1,1,A Chandila,Chennai Super Kings
1,1,A Chandila,Kings XI Punjab
2,1,A Chandila,Mumbai Indians
1,1,A Chandila,Deccan Chargers
4,1,A Chandila,Pune Warriors
2,1,A Chandila,Sunrisers Hyderabad
1,1,A Flintoff,Royal Challengers Bangalore
1,1,A Flintoff,Mumbai Indians
4,3,A Kumble,Kolkata Knight Riders
7,4,A Kumble,Chennai Super Kings
4,3,A Kumble,Kings XI Punjab
9,3,A Kumble,Rajasthan Royals
5,3,A Kumble,Delhi Daredevils
3,3,A Kumble,Mumbai Indians
13,6,A Kumble,Deccan Chargers
12,9,A Mishra,Kolkata Knight Riders
12,7,A Mishra,Royal Challengers Bangalore
7,5,A Mishra,Chennai Super Kings
21,12,A Mishra,Kings XI Punjab
26,12,A Mishra,Rajasthan Royals
6,5,A Mishra,Delhi Daredevils
14,10,A Mishra,Mumbai Indians
11,5,A Mishra,Deccan Chargers
1,1,A Mishra,Kochi Tuskers Kerala
10,4,A Mishra,Pune Warriors
2,1,A Mishra,Sunrisers Hyderabad
1,1,A Mishra,Rising Pune Supergiants
1,1,A Mishra,Gujarat Lions
1,1,A Mithun,Kolkata Knight Riders
2,2,A Mithun,Chennai Super Kings
3,2,A Mithun,Delhi Daredevils
1,1,A Mithun,Kochi Tuskers Kerala
6,5,A Nehra,Kolkata Knight Riders
21,11,A Nehra,Royal Challengers Bangalore
11,6,A Nehra,Chennai Super Kings
13,9,A Nehra,Kings XI Punjab
10,5,A Nehra,Rajasthan Royals
8,4,A Nehra,Delhi Daredevils
16,8,A Nehra,Mumbai Indians
7,5,A Nehra,Deccan Chargers
2,2,A Nehra,Sunrisers Hyderabad
4,2,A Nehra,Rising Pune Supergiants
1,1,A Nel,Delhi Daredevils
4,3,A Singh,Kolkata Knight Riders
6,2,A Singh,Royal Challengers Bangalore
2,2,A Singh,Chennai Super Kings
4,2,A Singh,Kings XI Punjab
3,2,A Singh,Delhi Daredevils
5,3,A Singh,Mumbai Indians
3,1,A Singh,Deccan Chargers
1,1,A Singh,Kochi Tuskers Kerala
3,2,A Symonds,Kolkata Knight Riders
5,4,A Symonds,Royal Challengers Bangalore
4,3,A Symonds,Chennai Super Kings
3,3,A Symonds,Kings XI Punjab
5,3,A Symonds,Delhi Daredevils
2,1,A Uniyal,Mumbai Indians
2,1,A Zampa,Royal Challengers Bangalore
1,1,A Zampa,Kings XI Punjab
3,1,A Zampa,Delhi Daredevils
6,1,A Zampa,Sunrisers Hyderabad
3,2,AA Chavan,Kolkata Knight Riders
2,1,AA Chavan,Kings XI Punjab
2,2,AA Chavan,Delhi Daredevils
1,1,AA Chavan,Mumbai Indians
1,1,AA Jhunjhunwala,Chennai Super Kings
1,1,AA Noffke,Kolkata Knight Riders
1,1,AB Agarkar,Kolkata Knight Riders
4,2,AB Agarkar,Royal Challengers Bangalore
2,2,AB Agarkar,Chennai Super Kings
5,3,AB Agarkar,Kings XI Punjab
3,2,AB Agarkar,Rajasthan Royals
2,2,AB Agarkar,Delhi Daredevils
5,4,AB Agarkar,Mumbai Indians
5,3,AB Agarkar,Deccan Chargers
2,1,AB Agarkar,Kochi Tuskers Kerala
1,1,AB Dinda,Kolkata Knight Riders
10,6,AB Dinda,Royal Challengers Bangalore
4,3,AB Dinda,Chennai Super Kings
6,6,AB Dinda,Kings XI Punjab
5,3,AB Dinda,Rajasthan Royals
12,6,AB Dinda,Delhi Daredevils
13,9,AB Dinda,Mumbai Indians
6,4,AB Dinda,Deccan Chargers
2,1,AB Dinda,Pune Warriors
7,4,AB Dinda,Sunrisers Hyderabad
2,1,AB Dinda,Gujarat Lions
2,1,AB McDonald,Kolkata Knight Riders
2,1,AB McDonald,Royal Challengers Bangalore
4,2,AB McDonald,Kings XI Punjab
2,2,AB McDonald,Delhi Daredevils
1,1,AB McDonald,Mumbai Indians
1,1,AC Gilchrist,Mumbai Indians
1,1,AC Thomas,Kolkata Knight Riders
2,1,AC Thomas,Royal Challengers Bangalore
2,1,AC Thomas,Chennai Super Kings
2,1,AC Thomas,Kings XI Punjab
1,1,AC Thomas,Rajasthan Royals
3,1,AC Thomas,Delhi Daredevils
2,2,AC Thomas,Mumbai Indians
1,1,AC Thomas,Kochi Tuskers Kerala
2,2,AD Mascarenhas,Kolkata Knight Riders
3,1,AD Mascarenhas,Royal Challengers Bangalore
6,3,AD Mascarenhas,Delhi Daredevils
2,1,AD Mascarenhas,Mumbai Indians
6,2,AD Mascarenhas,Pune Warriors
2,1,AD Mathews,Kolkata Knight Riders
7,4,AD Mathews,Royal Challengers Bangalore
1,1,AD Mathews,Chennai Super Kings
4,4,AD Mathews,Kings XI Punjab
4,4,AD Mathews,Rajasthan Royals
3,1,AD Mathews,Delhi Daredevils
3,2,AD Mathews,Mumbai Indians
2,2,AD Mathews,Deccan Chargers
1,1,AD Mathews,Sunrisers Hyderabad
2,2,AD Russell,Royal Challengers Bangalore
5,3,AD Russell,Chennai Super Kings
8,4,AD Russell,Kings XI Punjab
3,1,AD Russell,Rajasthan Royals
7,3,AD Russell,Delhi Daredevils
1,1,AD Russell,Mumbai Indians
3,3,AD Russell,Sunrisers Hyderabad
1,1,AD Russell,Rising Pune Supergiants
1,1,AD Russell,Gujarat Lions
1,1,AF Milne,Sunrisers Hyderabad
1,1,AG Murtaza,Rajasthan Royals
6,3,AG Murtaza,Delhi Daredevils
2,1,AG Murtaza,Pune Warriors
1,1,AJ Finch,Mumbai Indians
1,1,AL Menaria,Kolkata Knight Riders
2,1,AL Menaria,Mumbai Indians
2,2,AM Nayar,Kolkata Knight Riders
1,1,AM Nayar,Chennai Super Kings
2,2,AM Nayar,Delhi Daredevils
2,1,AM Nayar,Mumbai Indians
1,1,AM Nayar,Deccan Chargers
1,1,AM Nayar,Pune Warriors
1,1,AM Rahane,Kings XI Punjab
3,2,AM Salvi,Kings XI Punjab
2,1,AM Salvi,Rajasthan Royals
1,1,AM Salvi,Mumbai Indians
1,1,AM Salvi,Deccan Chargers
5,4,AN Ahmed,Kolkata Knight Riders
1,1,AN Ahmed,Royal Challengers Bangalore
1,1,AN Ahmed,Chennai Super Kings
1,1,AN Ahmed,Delhi Daredevils
4,2,AN Ahmed,Pune Warriors
2,1,AP Dole,Kings XI Punjab
1,1,AP Dole,Mumbai Indians
2,1,AP Dole,Deccan Chargers
7,4,AR Patel,Kolkata Knight Riders
6,5,AR Patel,Royal Challengers Bangalore
3,3,AR Patel,Chennai Super Kings
7,4,AR Patel,Rajasthan Royals
5,4,AR Patel,Delhi Daredevils
5,4,AR Patel,Mumbai Indians
5,3,AR Patel,Sunrisers Hyderabad
1,1,AR Patel,Rising Pune Supergiants
4,1,AR Patel,Gujarat Lions
1,1,AS Rajpoot,Mumbai Indians
1,1,AS Rajpoot,Sunrisers Hyderabad
1,1,AS Rajpoot,Rising Pune Supergiants
1,1,AS Rajpoot,Gujarat Lions
2,2,Anand Rajan,Kolkata Knight Riders
1,1,Anand Rajan,Royal Challengers Bangalore
1,1,Anand Rajan,Rajasthan Royals
1,1,Anand Rajan,Delhi Daredevils
3,1,Anand Rajan,Mumbai Indians
1,1,Ankit Sharma,Kolkata Knight Riders
5,4,Ankit Sharma,Chennai Super Kings
1,1,Ankit Sharma,Kings XI Punjab
3,2,Ankit Sharma,Mumbai Indians
2,2,Ankit Sharma,Pune Warriors
2,1,Anureet Singh,Kolkata Knight Riders
2,1,Anureet Singh,Royal Challengers Bangalore
1,1,Anureet Singh,Chennai Super Kings
6,3,Anureet Singh,Rajasthan Royals
2,1,Anureet Singh,Delhi Daredevils
3,2,Anureet Singh,Mumbai Indians
1,1,Anureet Singh,Sunrisers Hyderabad
6,2,Azhar Mahmood,Kolkata Knight Riders
5,2,Azhar Mahmood,Royal Challengers Bangalore
5,2,Azhar Mahmood,Chennai Super Kings
2,1,Azhar Mahmood,Delhi Daredevils
4,2,Azhar Mahmood,Mumbai Indians
2,1,Azhar Mahmood,Deccan Chargers
4,2,Azhar Mahmood,Pune Warriors
1,1,Azhar Mahmood,Sunrisers Hyderabad
1,1,B Akhil,Kolkata Knight Riders
1,1,B Akhil,Delhi Daredevils
2,1,B Akhil,Mumbai Indians
2,1,B Akhil,Deccan Chargers
1,1,B Geeves,Mumbai Indians
16,9,B Kumar,Kolkata Knight Riders
9,5,B Kumar,Royal Challengers Bangalore
6,3,B Kumar,Chennai Super Kings
13,8,B Kumar,Kings XI Punjab
11,6,B Kumar,Rajasthan Royals
3,3,B Kumar,Delhi Daredevils
11,6,B Kumar,Mumbai Indians
2,2,B Kumar,Deccan Chargers
4,2,B Kumar,Sunrisers Hyderabad
2,2,B Kumar,Rising Pune Supergiants
8,3,B Kumar,Gujarat Lions
1,1,B Laughlin,Mumbai Indians
1,1,B Lee,Royal Challengers Bangalore
2,2,B Lee,Chennai Super Kings
2,1,B Lee,Kings XI Punjab
5,4,B Lee,Rajasthan Royals
8,5,B Lee,Delhi Daredevils
3,3,B Lee,Mumbai Indians
3,3,B Lee,Deccan Chargers
1,1,B Lee,Kochi Tuskers Kerala
4,2,BA Bhatt,Kolkata Knight Riders
2,1,BA Bhatt,Rajasthan Royals
1,1,BA Bhatt,Delhi Daredevils
4,1,BA Bhatt,Mumbai Indians
1,1,BA Bhatt,Pune Warriors
1,1,BAW Mendis,Royal Challengers Bangalore
2,2,BAW Mendis,Kings XI Punjab
2,1,BAW Mendis,Rajasthan Royals
2,1,BAW Mendis,Delhi Daredevils
1,1,BAW Mendis,Mumbai Indians
2,2,BB Sran,Kolkata Knight Riders
2,2,BB Sran,Royal Challengers Bangalore
2,1,BB Sran,Delhi Daredevils
5,2,BB Sran,Mumbai Indians
1,1,BB Sran,Rising Pune Supergiants
2,2,BB Sran,Gujarat Lions
1,1,BCJ Cutting,Kolkata Knight Riders
2,1,BCJ Cutting,Royal Challengers Bangalore
1,1,BCJ Cutting,Delhi Daredevils
2,1,BCJ Cutting,Gujarat Lions
1,1,BE Hendricks,Kolkata Knight Riders
1,1,BE Hendricks,Royal Challengers Bangalore
1,1,BE Hendricks,Chennai Super Kings
3,1,BE Hendricks,Delhi Daredevils
1,1,BE Hendricks,Mumbai Indians
2,1,BE Hendricks,Sunrisers Hyderabad
3,1,BJ Hodge,Royal Challengers Bangalore
2,2,BJ Hodge,Chennai Super Kings
1,1,BJ Hodge,Kings XI Punjab
4,1,BJ Hodge,Rajasthan Royals
2,2,BJ Hodge,Mumbai Indians
3,3,BJ Hodge,Deccan Chargers
2,1,BJ Hodge,Pune Warriors
1,1,BMAJ Mendis,Sunrisers Hyderabad
3,2,BW Hilfenhaus,Kolkata Knight Riders
2,2,BW Hilfenhaus,Kings XI Punjab
3,2,BW Hilfenhaus,Rajasthan Royals
6,4,BW Hilfenhaus,Delhi Daredevils
5,3,BW Hilfenhaus,Mumbai Indians
1,1,BW Hilfenhaus,Deccan Chargers
2,1,BW Hilfenhaus,Sunrisers Hyderabad
1,1,Bipul Sharma,Kolkata Knight Riders
3,3,Bipul Sharma,Royal Challengers Bangalore
2,1,Bipul Sharma,Kings XI Punjab
1,1,Bipul Sharma,Rajasthan Royals
2,2,Bipul Sharma,Mumbai Indians
1,1,Bipul Sharma,Deccan Chargers
2,1,Bipul Sharma,Kochi Tuskers Kerala
2,2,Bipul Sharma,Gujarat Lions
1,1,C Nanda,Royal Challengers Bangalore
1,1,C Nanda,Rajasthan Royals
3,2,CH Gayle,Chennai Super Kings
4,2,CH Gayle,Kings XI Punjab
1,1,CH Gayle,Rajasthan Royals
3,2,CH Gayle,Delhi Daredevils
1,1,CH Gayle,Mumbai Indians
1,1,CH Gayle,Deccan Chargers
1,1,CH Gayle,Kochi Tuskers Kerala
4,3,CH Gayle,Pune Warriors
7,4,CH Morris,Kolkata Knight Riders
5,3,CH Morris,Royal Challengers Bangalore
4,2,CH Morris,Chennai Super Kings
7,4,CH Morris,Kings XI Punjab
1,1,CH Morris,Rajasthan Royals
3,2,CH Morris,Delhi Daredevils
6,5,CH Morris,Mumbai Indians
3,2,CH Morris,Pune Warriors
2,2,CH Morris,Sunrisers Hyderabad
1,1,CH Morris,Rising Pune Supergiants
3,2,CH Morris,Gujarat Lions
1,1,CJ Anderson,Kolkata Knight Riders
1,1,CJ Anderson,Kings XI Punjab
1,1,CJ Anderson,Delhi Daredevils
2,1,CJ Anderson,Sunrisers Hyderabad
1,1,CJ Jordan,Delhi Daredevils
3,1,CJ Jordan,Sunrisers Hyderabad
1,1,CJ Jordan,Rising Pune Supergiants
6,2,CJ Jordan,Gujarat Lions
1,1,CJ McKay,Kings XI Punjab
2,1,CK Langeveldt,Kolkata Knight Riders
1,1,CK Langeveldt,Royal Challengers Bangalore
2,1,CK Langeveldt,Kings XI Punjab
4,2,CK Langeveldt,Rajasthan Royals
2,1,CK Langeveldt,Delhi Daredevils
2,1,CK Langeveldt,Deccan Chargers
1,1,CL White,Royal Challengers Bangalore
3,1,CR Brathwaite,Kolkata Knight Riders
2,2,CR Brathwaite,Royal Challengers Bangalore
2,1,CR Brathwaite,Sunrisers Hyderabad
1,1,CRD Fernando,Kolkata Knight Riders
7,3,CRD Fernando,Royal Challengers Bangalore
2,1,CRD Fernando,Chennai Super Kings
1,1,CRD Fernando,Kings XI Punjab
2,1,CRD Fernando,Rajasthan Royals
2,1,CRD Fernando,Delhi Daredevils
2,1,CRD Fernando,Deccan Chargers
1,1,D Kalyankrishna,Kings XI Punjab
1,1,D Kalyankrishna,Rajasthan Royals
1,1,D Salunkhe,Kings XI Punjab
1,1,D Wiese,Kolkata Knight Riders
4,3,D Wiese,Chennai Super Kings
1,1,D Wiese,Kings XI Punjab
2,1,D Wiese,Rajasthan Royals
2,1,D Wiese,Delhi Daredevils
4,1,D Wiese,Mumbai Indians
2,1,D Wiese,Sunrisers Hyderabad
1,1,D du Preez,Rajasthan Royals
3,1,D du Preez,Mumbai Indians
3,1,DAJ Bracewell,Royal Challengers Bangalore
1,1,DB Ravi Teja,Royal Challengers Bangalore
2,1,DE Bollinger,Kolkata Knight Riders
5,3,DE Bollinger,Royal Challengers Bangalore
6,3,DE Bollinger,Rajasthan Royals
3,2,DE Bollinger,Delhi Daredevils
6,4,DE Bollinger,Mumbai Indians
8,3,DE Bollinger,Deccan Chargers
2,2,DE Bollinger,Kochi Tuskers Kerala
6,3,DE Bollinger,Pune Warriors
12,8,DJ Bravo,Kolkata Knight Riders
9,8,DJ Bravo,Royal Challengers Bangalore
5,4,DJ Bravo,Chennai Super Kings
19,9,DJ Bravo,Kings XI Punjab
10,7,DJ Bravo,Rajasthan Royals
10,7,DJ Bravo,Delhi Daredevils
30,15,DJ Bravo,Mumbai Indians
7,3,DJ Bravo,Deccan Chargers
1,1,DJ Bravo,Kochi Tuskers Kerala
5,3,DJ Bravo,Pune Warriors
12,6,DJ Bravo,Sunrisers Hyderabad
2,2,DJ Bravo,Rising Pune Supergiants
2,1,DJ Hooda,Kolkata Knight Riders
1,1,DJ Hooda,Kings XI Punjab
1,1,DJ Hooda,Gujarat Lions
2,1,DJ Hussey,Royal Challengers Bangalore
1,1,DJ Hussey,Chennai Super Kings
1,1,DJ Hussey,Kings XI Punjab
1,1,DJ Hussey,Delhi Daredevils
3,2,DJ Hussey,Deccan Chargers
2,1,DJ Muthuswami,Kolkata Knight Riders
1,1,DJ Muthuswami,Chennai Super Kings
1,1,DJ Muthuswami,Mumbai Indians
2,1,DJ Thornely,Kolkata Knight Riders
1,1,DJ Thornely,Delhi Daredevils
5,2,DJG Sammy,Kings XI Punjab
2,1,DJG Sammy,Rajasthan Royals
3,2,DJG Sammy,Delhi Daredevils
1,1,DJG Sammy,Mumbai Indians
4,4,DL Vettori,Kolkata Knight Riders
3,3,DL Vettori,Royal Challengers Bangalore
4,2,DL Vettori,Chennai Super Kings
4,2,DL Vettori,Kings XI Punjab
2,2,DL Vettori,Rajasthan Royals
2,2,DL Vettori,Delhi Daredevils
3,1,DL Vettori,Mumbai Indians
1,1,DL Vettori,Deccan Chargers
3,2,DL Vettori,Kochi Tuskers Kerala
2,2,DL Vettori,Pune Warriors
1,1,DNT Zoysa,Kings XI Punjab
1,1,DNT Zoysa,Mumbai Indians
3,2,DP Nannes,Kolkata Knight Riders
2,2,DP Nannes,Royal Challengers Bangalore
5,3,DP Nannes,Chennai Super Kings
4,2,DP Nannes,Kings XI Punjab
2,2,DP Nannes,Rajasthan Royals
7,4,DP Nannes,Mumbai Indians
4,3,DP Nannes,Deccan Chargers
1,1,DP Nannes,Kochi Tuskers Kerala
1,1,DP Vijaykumar,Kolkata Knight Riders
2,2,DP Vijaykumar,Chennai Super Kings
1,1,DP Vijaykumar,Delhi Daredevils
7,4,DR Smith,Kolkata Knight Riders
5,2,DR Smith,Royal Challengers Bangalore
2,2,DR Smith,Kings XI Punjab
1,1,DR Smith,Rajasthan Royals
4,3,DR Smith,Delhi Daredevils
3,2,DR Smith,Mumbai Indians
2,2,DR Smith,Sunrisers Hyderabad
5,4,DS Kulkarni,Kolkata Knight Riders
14,8,DS Kulkarni,Royal Challengers Bangalore
8,4,DS Kulkarni,Chennai Super Kings
8,6,DS Kulkarni,Kings XI Punjab
8,4,DS Kulkarni,Rajasthan Royals
10,6,DS Kulkarni,Delhi Daredevils
9,5,DS Kulkarni,Mumbai Indians
4,2,DS Kulkarni,Deccan Chargers
7,4,DS Kulkarni,Sunrisers Hyderabad
1,1,DT Christian,Kolkata Knight Riders
1,1,DT Christian,Royal Challengers Bangalore
3,2,DT Christian,Chennai Super Kings
4,2,DT Christian,Kings XI Punjab
1,1,DT Christian,Rajasthan Royals
4,3,DT Christian,Delhi Daredevils
1,1,DT Christian,Mumbai Indians
4,2,DT Christian,Pune Warriors
11,7,DW Steyn,Kolkata Knight Riders
7,3,DW Steyn,Royal Challengers Bangalore
7,5,DW Steyn,Chennai Super Kings
8,6,DW Steyn,Kings XI Punjab
13,8,DW Steyn,Rajasthan Royals
16,10,DW Steyn,Delhi Daredevils
15,7,DW Steyn,Mumbai Indians
7,4,DW Steyn,Deccan Chargers
3,1,DW Steyn,Kochi Tuskers Kerala
5,3,DW Steyn,Pune Warriors
1,1,FH Edwards,Royal Challengers Bangalore
1,1,FH Edwards,Chennai Super Kings
1,1,FH Edwards,Rajasthan Royals
2,1,FH Edwards,Mumbai Indians
1,1,GB Hogg,Kolkata Knight Riders
4,3,GB Hogg,Royal Challengers Bangalore
6,3,GB Hogg,Chennai Super Kings
7,4,GB Hogg,Delhi Daredevils
2,1,GB Hogg,Mumbai Indians
2,1,GB Hogg,Sunrisers Hyderabad
1,1,GB Hogg,Gujarat Lions
6,2,GD McGrath,Royal Challengers Bangalore
1,1,GD McGrath,Chennai Super Kings
2,2,GD McGrath,Kings XI Punjab
1,1,GD McGrath,Rajasthan Royals
2,1,GD McGrath,Deccan Chargers
1,1,GH Vihari,Royal Challengers Bangalore
1,1,GJ Maxwell,Kolkata Knight Riders
1,1,GJ Maxwell,Royal Challengers Bangalore
1,1,GJ Maxwell,Chennai Super Kings
1,1,GJ Maxwell,Sunrisers Hyderabad
1,1,GR Napier,Kolkata Knight Riders
1,1,GS Sandhu,Chennai Super Kings
1,1,Gagandeep Singh,Kolkata Knight Riders
2,2,Gagandeep Singh,Deccan Chargers
2,1,Gurkeerat Singh,Kolkata Knight Riders
1,1,Gurkeerat Singh,Sunrisers Hyderabad
2,1,Gurkeerat Singh,Rising Pune Supergiants
2,2,HH Pandya,Kolkata Knight Riders
2,2,HH Pandya,Delhi Daredevils
2,2,HV Patel,Kolkata Knight Riders
4,3,HV Patel,Chennai Super Kings
6,4,HV Patel,Kings XI Punjab
6,3,HV Patel,Rajasthan Royals
3,2,HV Patel,Delhi Daredevils
6,4,HV Patel,Mumbai Indians
2,2,HV Patel,Pune Warriors
1,1,HV Patel,Sunrisers Hyderabad
1,1,HV Patel,Rising Pune Supergiants
11,8,Harbhajan Singh,Kolkata Knight Riders
18,10,Harbhajan Singh,Royal Challengers Bangalore
24,13,Harbhajan Singh,Chennai Super Kings
16,9,Harbhajan Singh,Kings XI Punjab
10,7,Harbhajan Singh,Rajasthan Royals
17,11,Harbhajan Singh,Delhi Daredevils
1,1,Harbhajan Singh,Mumbai Indians
9,5,Harbhajan Singh,Deccan Chargers
6,5,Harbhajan Singh,Pune Warriors
4,3,Harbhajan Singh,Sunrisers Hyderabad
2,2,Harbhajan Singh,Rising Pune Supergiants
1,1,Harbhajan Singh,Gujarat Lions
3,3,Harmeet Singh,Kolkata Knight Riders
4,2,Harmeet Singh,Royal Challengers Bangalore
3,3,Harmeet Singh,Chennai Super Kings
3,2,Harmeet Singh,Rajasthan Royals
7,3,Harmeet Singh,Delhi Daredevils
6,3,Harmeet Singh,Pune Warriors
1,1,Harmeet Singh,Sunrisers Hyderabad
9,6,I Sharma,Royal Challengers Bangalore
4,3,I Sharma,Chennai Super Kings
5,3,I Sharma,Kings XI Punjab
9,7,I Sharma,Rajasthan Royals
8,5,I Sharma,Delhi Daredevils
14,10,I Sharma,Mumbai Indians
2,2,I Sharma,Deccan Chargers
5,1,I Sharma,Kochi Tuskers Kerala
1,1,I Sharma,Pune Warriors
1,1,I Sharma,Gujarat Lions
3,3,IC Pandey,Kolkata Knight Riders
3,2,IC Pandey,Royal Challengers Bangalore
3,3,IC Pandey,Kings XI Punjab
1,1,IC Pandey,Rajasthan Royals
5,3,IC Pandey,Delhi Daredevils
2,2,IC Pandey,Mumbai Indians
1,1,IC Pandey,Sunrisers Hyderabad
8,6,IK Pathan,Kolkata Knight Riders
10,7,IK Pathan,Royal Challengers Bangalore
11,9,IK Pathan,Chennai Super Kings
6,4,IK Pathan,Kings XI Punjab
8,7,IK Pathan,Rajasthan Royals
8,4,IK Pathan,Delhi Daredevils
15,9,IK Pathan,Mumbai Indians
7,5,IK Pathan,Deccan Chargers
2,1,IK Pathan,Kochi Tuskers Kerala
4,3,IK Pathan,Pune Warriors
1,1,IK Pathan,Sunrisers Hyderabad
