wickets,matches,player,team
5,5,R Ashwin,Sunrisers Hyderabad
5,4,R Bhatia,Kolkata Knight Riders
3,3,R Bhatia,Royal Challengers Bangalore
10,7,R Bhatia,Chennai Super Kings
4,3,R Bhatia,Kings XI Punjab
5,4,R Bhatia,Rajasthan Royals
8,5,R Bhatia,Delhi Daredevils
11,7,R Bhatia,Mumbai Indians
11,5,R Bhatia,Deccan Chargers
1,1,R Bhatia,Kochi Tuskers Kerala
3,3,R Bhatia,Pune Warriors
7,3,R Bhatia,Sunrisers Hyderabad
1,1,R Bhatia,Gujarat Lions
1,1,R Dhawan,Kolkata Knight Riders
2,1,R Dhawan,Royal Challengers Bangalore
3,3,R Dhawan,Chennai Super Kings
1,1,R Dhawan,Kings XI Punjab
2,1,R Dhawan,Rajasthan Royals
1,1,R Dhawan,Delhi Daredevils
3,2,R Dhawan,Mumbai Indians
4,3,R Dhawan,Sunrisers Hyderabad
1,1,R Dhawan,Rising Pune Supergiants
3,3,R McLaren,Royal Challengers Bangalore
1,1,R McLaren,Chennai Super Kings
1,1,R McLaren,Rajasthan Royals
2,1,R McLaren,Mumbai Indians
4,2,R McLaren,Deccan Chargers
1,1,R McLaren,Pune Warriors
2,1,R Ninan,Chennai Super Kings
1,1,R Ninan,Deccan Chargers
1,1,R Rampaul,Kolkata Knight Riders
5,3,R Rampaul,Chennai Super Kings
1,1,R Rampaul,Kings XI Punjab
4,2,R Rampaul,Rajasthan Royals
2,1,R Rampaul,Delhi Daredevils
1,1,R Rampaul,Mumbai Indians
2,1,R Rampaul,Pune Warriors
1,1,R Sathish,Kolkata Knight Riders
1,1,R Sathish,Rajasthan Royals
1,1,R Sathish,Rising Pune Supergiants
5,4,R Sharma,Royal Challengers Bangalore
5,4,R Sharma,Chennai Super Kings
7,5,R Sharma,Kings XI Punjab
5,2,R Sharma,Rajasthan Royals
5,4,R Sharma,Delhi Daredevils
5,4,R Sharma,Mumbai Indians
4,3,R Sharma,Deccan Chargers
1,1,R Sharma,Kochi Tuskers Kerala
3,2,R Sharma,Sunrisers Hyderabad
2,1,R Shukla,Kolkata Knight Riders
1,1,R Shukla,Royal Challengers Bangalore
1,1,R Shukla,Delhi Daredevils
1,1,R Shukla,Sunrisers Hyderabad
1,1,R Tewatia,Royal Challengers Bangalore
2,2,R Tewatia,Kings XI Punjab
17,9,R Vinay Kumar,Kolkata Knight Riders
4,3,R Vinay Kumar,Royal Challengers Bangalore
17,11,R Vinay Kumar,Chennai Super Kings
4,4,R Vinay Kumar,Kings XI Punjab
11,7,R Vinay Kumar,Rajasthan Royals
9,7,R Vinay Kumar,Delhi Daredevils
11,6,R Vinay Kumar,Mumbai Indians
13,6,R Vinay Kumar,Deccan Chargers
10,5,R Vinay Kumar,Pune Warriors
3,3,R Vinay Kumar,Sunrisers Hyderabad
2,1,R Vinay Kumar,Gujarat Lions
11,5,RA Jadeja,Kolkata Knight Riders
11,7,RA Jadeja,Royal Challengers Bangalore
2,1,RA Jadeja,Chennai Super Kings
8,5,RA Jadeja,Kings XI Punjab
13,6,RA Jadeja,Rajasthan Royals
6,5,RA Jadeja,Delhi Daredevils
12,6,RA Jadeja,Mumbai Indians
8,3,RA Jadeja,Deccan Chargers
3,3,RA Jadeja,Pune Warriors
1,1,RA Jadeja,Sunrisers Hyderabad
2,1,RA Jadeja,Rising Pune Supergiants
5,3,RE van der Merwe,Kolkata Knight Riders
3,3,RE van der Merwe,Chennai Super Kings
3,2,RE van der Merwe,Kings XI Punjab
1,1,RE van der Merwe,Rajasthan Royals
1,1,RE van der Merwe,Delhi Daredevils
3,3,RE van der Merwe,Mumbai Indians
1,1,RE van der Merwe,Deccan Chargers
4,2,RE van der Merwe,Kochi Tuskers Kerala
1,1,RG More,Kolkata Knight Riders
1,1,RG Sharma,Kolkata Knight Riders
2,2,RG Sharma,Chennai Super Kings
4,3,RG Sharma,Kings XI Punjab
3,1,RG Sharma,Rajasthan Royals
1,1,RG Sharma,Delhi Daredevils
4,1,RG Sharma,Mumbai Indians
2,1,RJ Harris,Kolkata Knight Riders
12,6,RJ Harris,Royal Challengers Bangalore
8,4,RJ Harris,Chennai Super Kings
1,1,RJ Harris,Kings XI Punjab
7,3,RJ Harris,Rajasthan Royals
6,3,RJ Harris,Delhi Daredevils
4,3,RJ Harris,Mumbai Indians
2,2,RJ Harris,Deccan Chargers
1,1,RJ Harris,Kochi Tuskers Kerala
2,2,RJ Harris,Pune Warriors
3,1,RJ Peterson,Delhi Daredevils
1,1,RN ten Doeschate,Royal Challengers Bangalore
1,1,RN ten Doeschate,Sunrisers Hyderabad
15,8,RP Singh,Kolkata Knight Riders
11,7,RP Singh,Royal Challengers Bangalore
11,8,RP Singh,Chennai Super Kings
10,5,RP Singh,Kings XI Punjab
13,8,RP Singh,Rajasthan Royals
7,5,RP Singh,Delhi Daredevils
14,7,RP Singh,Mumbai Indians
3,2,RP Singh,Deccan Chargers
2,2,RP Singh,Pune Warriors
4,2,RP Singh,Sunrisers Hyderabad
1,1,RR Powar,Kolkata Knight Riders
4,3,RR Powar,Chennai Super Kings
1,1,RR Powar,Rajasthan Royals
3,2,RR Powar,Delhi Daredevils
1,1,RR Powar,Mumbai Indians
3,2,RR Powar,Deccan Chargers
2,1,RR Raje,Kolkata Knight Riders
3,2,RR Raje,Rajasthan Royals
1,1,RR Raje,Deccan Chargers
2,2,RS Bopara,Kolkata Knight Riders
2,1,RS Bopara,Royal Challengers Bangalore
4,3,RS Bopara,Rajasthan Royals
3,1,RS Bopara,Mumbai Indians
2,1,RV Gomez,Kolkata Knight Riders
1,1,RV Gomez,Royal Challengers Bangalore
1,1,RV Gomez,Chennai Super Kings
1,1,RV Gomez,Mumbai Indians
6,4,S Aravind,Kolkata Knight Riders
6,4,S Aravind,Chennai Super Kings
10,3,S Aravind,Kings XI Punjab
5,2,S Aravind,Rajasthan Royals
3,3,S Aravind,Delhi Daredevils
4,3,S Aravind,Mumbai Indians
2,1,S Aravind,Kochi Tuskers Kerala
1,1,S Aravind,Pune Warriors
2,1,S Aravind,Sunrisers Hyderabad
1,1,S Aravind,Gujarat Lions
1,1,S Badree,Rajasthan Royals
1,1,S Badree,Mumbai Indians
1,1,S Dhawan,Kings XI Punjab
2,2,S Dhawan,Delhi Daredevils
1,1,S Dhawan,Pune Warriors
2,1,S Gopal,Kings XI Punjab
4,3,S Gopal,Rajasthan Royals
1,1,S Gopal,Delhi Daredevils
2,2,S Kaul,Royal Challengers Bangalore
1,1,S Kaul,Rajasthan Royals
2,1,S Kaul,Pune Warriors
1,1,S Kaul,Sunrisers Hyderabad
3,1,S Kaushik,Kings XI Punjab
1,1,S Kaushik,Delhi Daredevils
2,1,S Kaushik,Sunrisers Hyderabad
1,1,S Ladda,Kings XI Punjab
1,1,S Ladda,Rajasthan Royals
2,1,S Ladda,Mumbai Indians
1,1,S Ladda,Deccan Chargers
4,3,S Nadeem,Kolkata Knight Riders
3,3,S Nadeem,Royal Challengers Bangalore
1,1,S Nadeem,Chennai Super Kings
4,3,S Nadeem,Rajasthan Royals
7,5,S Nadeem,Mumbai Indians
4,2,S Nadeem,Deccan Chargers
3,2,S Nadeem,Pune Warriors
3,2,S Nadeem,Sunrisers Hyderabad
2,1,S Nadeem,Gujarat Lions
3,1,S Narwal,Delhi Daredevils
2,1,S Narwal,Deccan Chargers
1,1,S Randiv,Kolkata Knight Riders
2,1,S Randiv,Royal Challengers Bangalore
1,1,S Randiv,Kings XI Punjab
1,1,S Randiv,Rajasthan Royals
1,1,S Randiv,Mumbai Indians
5,3,S Sreesanth,Kolkata Knight Riders
7,4,S Sreesanth,Royal Challengers Bangalore
6,4,S Sreesanth,Chennai Super Kings
2,1,S Sreesanth,Kings XI Punjab
5,4,S Sreesanth,Rajasthan Royals
8,5,S Sreesanth,Delhi Daredevils
4,2,S Sreesanth,Mumbai Indians
4,4,S Sreesanth,Deccan Chargers
1,1,S Tyagi,Royal Challengers Bangalore
2,1,S Tyagi,Delhi Daredevils
2,2,S Tyagi,Mumbai Indians
1,1,S Tyagi,Deccan Chargers
1,1,S Vidyut,Rajasthan Royals
1,1,SB Bangar,Royal Challengers Bangalore
1,1,SB Bangar,Chennai Super Kings
2,1,SB Bangar,Mumbai Indians
6,5,SB Jakati,Kolkata Knight Riders
7,5,SB Jakati,Royal Challengers Bangalore
1,1,SB Jakati,Kings XI Punjab
7,4,SB Jakati,Rajasthan Royals
7,3,SB Jakati,Delhi Daredevils
6,5,SB Jakati,Mumbai Indians
11,5,SB Jakati,Deccan Chargers
1,1,SB Jakati,Kochi Tuskers Kerala
1,1,SB Jakati,Pune Warriors
1,1,SB Joshi,Rajasthan Royals
2,1,SB Styris,Kolkata Knight Riders
4,2,SB Styris,Royal Challengers Bangalore
1,1,SB Styris,Chennai Super Kings
1,1,SB Styris,Kings XI Punjab
1,1,SB Wagh,Chennai Super Kings
3,1,SB Wagh,Kings XI Punjab
1,1,SB Wagh,Mumbai Indians
3,2,SC Ganguly,Royal Challengers Bangalore
2,1,SC Ganguly,Kings XI Punjab
1,1,SC Ganguly,Rajasthan Royals
2,1,SC Ganguly,Delhi Daredevils
2,1,SC Ganguly,Deccan Chargers
2,1,SD Chitnis,Kings XI Punjab
3,2,SE Bond,Kings XI Punjab
3,2,SE Bond,Rajasthan Royals
2,1,SE Bond,Mumbai Indians
1,1,SE Bond,Deccan Chargers
2,1,SJ Srivastava,Kolkata Knight Riders
3,2,SJ Srivastava,Royal Challengers Bangalore
1,1,SJ Srivastava,Rajasthan Royals
2,1,SJ Srivastava,Delhi Daredevils
2,2,SJ Srivastava,Mumbai Indians
1,1,SJ Srivastava,Deccan Chargers
1,1,SJ Srivastava,Kochi Tuskers Kerala
2,1,SJ Srivastava,Pune Warriors
2,2,SK Raina,Kolkata Knight Riders
2,2,SK Raina,Royal Challengers Bangalore
3,2,SK Raina,Kings XI Punjab
4,3,SK Raina,Rajasthan Royals
3,3,SK Raina,Mumbai Indians
7,6,SK Raina,Deccan Chargers
3,3,SK Raina,Sunrisers Hyderabad
9,5,SK Trivedi,Kolkata Knight Riders
9,5,SK Trivedi,Royal Challengers Bangalore
4,3,SK Trivedi,Chennai Super Kings
11,7,SK Trivedi,Kings XI Punjab
5,4,SK Trivedi,Delhi Daredevils
7,5,SK Trivedi,Mumbai Indians
12,7,SK Trivedi,Deccan Chargers
3,1,SK Trivedi,Kochi Tuskers Kerala
3,2,SK Trivedi,Pune Warriors
2,2,SK Trivedi,Sunrisers Hyderabad
4,3,SK Warne,Kolkata Knight Riders
8,5,SK Warne,Royal Challengers Bangalore
7,6,SK Warne,Chennai Super Kings
7,4,SK Warne,Kings XI Punjab
8,5,SK Warne,Delhi Daredevils
7,5,SK Warne,Mumbai Indians
12,6,SK Warne,Deccan Chargers
3,1,SK Warne,Kochi Tuskers Kerala
1,1,SK Warne,Pune Warriors
12,8,SL Malinga,Kolkata Knight Riders
10,7,SL Malinga,Royal Challengers Bangalore
23,11,SL Malinga,Chennai Super Kings
22,11,SL Malinga,Kings XI Punjab
11,9,SL Malinga,Rajasthan Royals
18,10,SL Malinga,Delhi Daredevils
3,2,SL Malinga,Mumbai Indians
19,8,SL Malinga,Deccan Chargers
2,1,SL Malinga,Kochi Tuskers Kerala
12,6,SL Malinga,Pune Warriors
11,5,SL Malinga,Sunrisers Hyderabad
2,1,SM Boland,Delhi Daredevils
1,1,SM Harwood,Kings XI Punjab
2,1,SM Harwood,Deccan Chargers
5,2,SM Pollock,Kolkata Knight Riders
1,1,SM Pollock,Chennai Super Kings
2,2,SM Pollock,Kings XI Punjab
1,1,SM Pollock,Rajasthan Royals
2,1,SM Pollock,Delhi Daredevils
1,1,SMSM Senanayake,Royal Challengers Bangalore
1,1,SMSM Senanayake,Chennai Super Kings
2,1,SMSM Senanayake,Kings XI Punjab
2,1,SMSM Senanayake,Rajasthan Royals
1,1,SMSM Senanayake,Mumbai Indians
1,1,SMSM Senanayake,Pune Warriors
1,1,SMSM Senanayake,Sunrisers Hyderabad
1,1,SN Thakur,Delhi Daredevils
11,5,SP Narine,Royal Challengers Bangalore
6,5,SP Narine,Chennai Super Kings
22,9,SP Narine,Kings XI Punjab
6,4,SP Narine,Rajasthan Royals
12,7,SP Narine,Delhi Daredevils
15,6,SP Narine,Mumbai Indians
2,1,SP Narine,Deccan Chargers
4,3,SP Narine,Pune Warriors
5,3,SP Narine,Sunrisers Hyderabad
1,1,SP Narine,Rising Pune Supergiants
1,1,SP Narine,Gujarat Lions
9,5,SR Watson,Kolkata Knight Riders
9,5,SR Watson,Royal Challengers Bangalore
5,4,SR Watson,Chennai Super Kings
11,7,SR Watson,Kings XI Punjab
11,7,SR Watson,Delhi Daredevils
11,5,SR Watson,Mumbai Indians
2,2,SR Watson,Deccan Chargers
3,2,SR Watson,Pune Warriors
10,6,SR Watson,Sunrisers Hyderabad
5,2,SR Watson,Rising Pune Supergiants
5,2,SR Watson,Gujarat Lions
1,1,SS Mundhe,Delhi Daredevils
1,1,SS Sarkar,Rajasthan Royals
3,1,ST Jayasuriya,Kolkata Knight Riders
1,1,ST Jayasuriya,Royal Challengers Bangalore
2,1,ST Jayasuriya,Chennai Super Kings
1,1,ST Jayasuriya,Kings XI Punjab
2,1,ST Jayasuriya,Rajasthan Royals
1,1,ST Jayasuriya,Delhi Daredevils
1,1,ST Jayasuriya,Mumbai Indians
2,2,ST Jayasuriya,Deccan Chargers
1,1,STR Binny,Kolkata Knight Riders
2,2,STR Binny,Royal Challengers Bangalore
2,2,STR Binny,Chennai Super Kings
1,1,STR Binny,Kings XI Punjab
4,3,STR Binny,Delhi Daredevils
5,3,STR Binny,Mumbai Indians
1,1,STR Binny,Deccan Chargers
1,1,STR Binny,Pune Warriors
1,1,STR Binny,Sunrisers Hyderabad
2,2,SW Tait,Kolkata Knight Riders
2,1,SW Tait,Chennai Super Kings
8,3,SW Tait,Kings XI Punjab
3,2,SW Tait,Delhi Daredevils
2,1,SW Tait,Mumbai Indians
3,1,SW Tait,Deccan Chargers
4,2,SW Tait,Pune Warriors
2,1,Sachin Baby,Gujarat Lions
7,2,Sandeep Sharma,Kolkata Knight Riders
12,6,Sandeep Sharma,Royal Challengers Bangalore
3,3,Sandeep Sharma,Chennai Super Kings
2,2,Sandeep Sharma,Rajasthan Royals
9,5,Sandeep Sharma,Delhi Daredevils
8,5,Sandeep Sharma,Mumbai Indians
8,6,Sandeep Sharma,Sunrisers Hyderabad
3,2,Sandeep Sharma,Rising Pune Supergiants
2,2,Sandeep Sharma,Gujarat Lions
1,1,Shahid Afridi,Royal Challengers Bangalore
1,1,Shahid Afridi,Chennai Super Kings
3,1,Shahid Afridi,Rajasthan Royals
4,2,Shahid Afridi,Mumbai Indians
3,2,Shakib Al Hasan,Royal Challengers Bangalore
3,2,Shakib Al Hasan,Chennai Super Kings
2,2,Shakib Al Hasan,Kings XI Punjab
9,5,Shakib Al Hasan,Rajasthan Royals
2,2,Shakib Al Hasan,Delhi Daredevils
10,8,Shakib Al Hasan,Mumbai Indians
3,1,Shakib Al Hasan,Kochi Tuskers Kerala
4,2,Shakib Al Hasan,Pune Warriors
4,3,Shakib Al Hasan,Sunrisers Hyderabad
2,2,Shakib Al Hasan,Rising Pune Supergiants
1,1,Shakib Al Hasan,Gujarat Lions
2,1,Shivam Sharma,Royal Challengers Bangalore
1,1,Shivam Sharma,Rajasthan Royals
1,1,Shivam Sharma,Sunrisers Hyderabad
1,1,Shoaib Ahmed,Chennai Super Kings
2,1,Shoaib Ahmed,Kings XI Punjab
2,1,Shoaib Ahmed,Delhi Daredevils
4,1,Shoaib Akhtar,Delhi Daredevils
1,1,Shoaib Akhtar,Mumbai Indians
1,1,Shoaib Malik,Kings XI Punjab
1,1,Shoaib Malik,Mumbai Indians
5,2,Sohail Tanvir,Kolkata Knight Riders
3,1,Sohail Tanvir,Royal Challengers Bangalore
10,3,Sohail Tanvir,Chennai Super Kings
4,1,Sohail Tanvir,Mumbai Indians
1,1,T Henderson,Royal Challengers Bangalore
1,1,T Shamsi,Sunrisers Hyderabad
1,1,T Shamsi,Rising Pune Supergiants
1,1,T Shamsi,Gujarat Lions
1,1,T Thushara,Royal Challengers Bangalore
2,1,T Thushara,Kings XI Punjab
2,1,T Thushara,Rajasthan Royals
3,2,T Thushara,Mumbai Indians
3,1,TA Boult,Royal Challengers Bangalore
1,1,TA Boult,Chennai Super Kings
4,2,TA Boult,Kings XI Punjab
1,1,TA Boult,Rajasthan Royals
1,1,TA Boult,Gujarat Lions
3,2,TG Southee,Kolkata Knight Riders
4,3,TG Southee,Royal Challengers Bangalore
6,4,TG Southee,Kings XI Punjab
2,2,TG Southee,Mumbai Indians
1,1,TG Southee,Pune Warriors
3,1,TG Southee,Sunrisers Hyderabad
1,1,TL Suman,Royal Challengers Bangalore
1,1,TL Suman,Chennai Super Kings
2,2,TL Suman,Kings XI Punjab
2,1,TL Suman,Mumbai Indians
1,1,TM Dilshan,Royal Challengers Bangalore
2,2,TM Dilshan,Chennai Super Kings
1,1,TM Dilshan,Kings XI Punjab
1,1,TM Dilshan,Kochi Tuskers Kerala
1,1,TP Sudhindra,Chennai Super Kings
11,6,UT Yadav,Kolkata Knight Riders
6,5,UT Yadav,Royal Challengers Bangalore
7,6,UT Yadav,Chennai Super Kings
15,7,UT Yadav,Kings XI Punjab
6,3,UT Yadav,Rajasthan Royals
6,3,UT Yadav,Delhi Daredevils
7,4,UT Yadav,Mumbai Indians
3,2,UT Yadav,Deccan Chargers
3,2,UT Yadav,Pune Warriors
9,4,UT Yadav,Sunrisers Hyderabad
1,1,UT Yadav,Rising Pune Supergiants
6,2,Umar Gul,Kings XI Punjab
5,2,Umar Gul,Rajasthan Royals
1,1,Umar Gul,Deccan Chargers
1,1,V Kohli,Chennai Super Kings
2,1,V Kohli,Deccan Chargers
1,1,V Kohli,Kochi Tuskers Kerala
2,2,V Pratap Singh,Royal Challengers Bangalore
2,1,V Pratap Singh,Chennai Super Kings
1,1,V Pratap Singh,Kings XI Punjab
2,1,V Pratap Singh,Rajasthan Royals
1,1,V Pratap Singh,Delhi Daredevils
1,1,V Pratap Singh,Mumbai Indians
1,1,V Pratap Singh,Pune Warriors
3,2,V Sehwag,Chennai Super Kings
2,2,V Sehwag,Rajasthan Royals
1,1,V Sehwag,Mumbai Indians
5,3,VR Aaron,Kolkata Knight Riders
1,1,VR Aaron,Royal Challengers Bangalore
5,3,VR Aaron,Chennai Super Kings
6,4,VR Aaron,Kings XI Punjab
3,2,VR Aaron,Delhi Daredevils
5,3,VR Aaron,Mumbai Indians
2,1,VR Aaron,Deccan Chargers
4,2,VR Aaron,Sunrisers Hyderabad
3,2,VRV Singh,Kolkata Knight Riders
3,3,VRV Singh,Royal Challengers Bangalore
1,1,VRV Singh,Chennai Super Kings
3,1,VRV Singh,Delhi Daredevils
1,1,VRV Singh,Mumbai Indians
1,1,VRV Singh,Deccan Chargers
1,1,VS Malik,Kolkata Knight Riders
1,1,VS Malik,Kings XI Punjab
1,1,VS Malik,Mumbai Indians
1,1,VS Malik,Deccan Chargers
2,1,VS Malik,Sunrisers Hyderabad
2,1,VY Mahesh,Kolkata Knight Riders
3,2,VY Mahesh,Chennai Super Kings
3,3,VY Mahesh,Kings XI Punjab
4,2,VY Mahesh,Rajasthan Royals
7,2,VY Mahesh,Mumbai Indians
1,1,VY Mahesh,Deccan Chargers
1,1,VY Mahesh,Pune Warriors
2,2,WA Mota,Chennai Super Kings
1,1,WA Mota,Delhi Daredevils
1,1,WA Mota,Deccan Chargers
8,4,WD Parnell,Kolkata Knight Riders
1,1,WD Parnell,Chennai Super Kings
3,2,WD Parnell,Kings XI Punjab
5,3,WD Parnell,Rajasthan Royals
1,1,WD Parnell,Delhi Daredevils
3,3,WD Parnell,Mumbai Indians
3,3,WD Parnell,Deccan Chargers
3,1,WD Parnell,Kochi Tuskers Kerala
5,3,WPUJC Vaas,Kolkata Knight Riders
1,1,WPUJC Vaas,Royal Challengers Bangalore
3,1,WPUJC Vaas,Chennai Super Kings
2,1,WPUJC Vaas,Kings XI Punjab
3,2,WPUJC Vaas,Rajasthan Royals
4,3,WPUJC Vaas,Delhi Daredevils
3,2,Y Nagar,Royal Challengers Bangalore
1,1,Y Nagar,Deccan Chargers
1,1,Y Venugopal Rao,Chennai Super Kings
1,1,Y Venugopal Rao,Kings XI Punjab
2,1,Y Venugopal Rao,Rajasthan Royals
2,1,Y Venugopal Rao,Mumbai Indians
1,1,YA Abdulla,Kolkata Knight Riders
8,2,YA Abdulla,Royal Challengers Bangalore
3,1,YA Abdulla,Rajasthan Royals
1,1,YA Abdulla,Delhi Daredevils
2,1,YA Abdulla,Mumbai Indians
3,2,YK Pathan,Kolkata Knight Riders
3,2,YK Pathan,Royal Challengers Bangalore
9,6,YK Pathan,Chennai Super Kings
6,5,YK Pathan,Kings XI Punjab
3,2,YK Pathan,Rajasthan Royals
1,1,YK Pathan,Delhi Daredevils
7,4,YK Pathan,Deccan Chargers
4,2,YK Pathan,Kochi Tuskers Kerala
4,2,YK Pathan,Pune Warriors
6,5,YS Chahal,Kolkata Knight Riders
6,3,YS Chahal,Chennai Super Kings
12,6,YS Chahal,Kings XI Punjab
6,4,YS Chahal,Rajasthan Royals
7,4,YS Chahal,Delhi Daredevils
8,5,YS Chahal,Mumbai Indians
5,3,YS Chahal,Sunrisers Hyderabad
1,1,YS Chahal,Rising Pune Supergiants
5,3,YS Chahal,Gujarat Lions
1,1,Yuvraj Singh,Kolkata Knight Riders
3,1,Yuvraj Singh,Royal Challengers Bangalore
2,2,Yuvraj Singh,Chennai Super Kings
1,1,Yuvraj Singh,Kings XI Punjab
6,2,Yuvraj Singh,Rajasthan Royals
6,3,Yuvraj Singh,Delhi Daredevils
6,4,Yuvraj Singh,Mumbai Indians
9,5,Yuvraj Singh,Deccan Chargers
1,1,Yuvraj Singh,Sunrisers Hyderabad
17,11,Z Khan,Kolkata Knight Riders
7,6,Z Khan,Royal Challengers Bangalore
16,8,Z Khan,Chennai Super Kings
13,8,Z Khan,Kings XI Punjab
5,4,Z Khan,Rajasthan Royals
6,4,Z Khan,Delhi Daredevils
8,6,Z Khan,Mumbai Indians
12,5,Z Khan,Deccan Chargers
2,2,Z Khan,Kochi Tuskers Kerala
3,2,Z Khan,Pune Warriors
3,2,Z Khan,Sunrisers Hyderabad
1,1,Z Khan,Gujarat Lions
